date,command,MAP,date_error,data_error,tape,file,phy_record,log_record,station
1970-02-01T15:37:22.591000Z,4,1,-,-,1,77,29,58,12
1970-02-05T05:33:03.312000Z,4,0,-,-,1,80,337,11,12
1970-02-06T17:36:43.083000Z,4,0,-,-,1,82,73,17,12
1970-02-08T20:16:23.392000Z,4,0,-,-,1,84,132,14,12
1970-02-12T17:23:08.732000Z,4,0,-,-,1,88,67,19,12
1970-02-13T11:46:15.219000Z,4,0,-,-,1,88,468,18,12
1970-02-18T21:42:50.184000Z,4,1,-,-,1,94,164,27,12
1970-02-18T21:43:58.409000Z,4,1,-,-,1,94,165,70,12
1970-02-20T15:21:12.887000Z,4,1,-,-,1,96,23,46,12
1970-02-20T15:23:13.035000Z,4,1,-,-,1,96,23,45,12
1970-03-07T20:56:20.244000Z,4,1,-,-,1,11,146,65,12
1970-03-09T15:33:02.880000Z,4,1,-,-,1,13,27,91,12
1970-03-17T16:11:38.197000Z,4,1,-,-,1,21,41,23,12
1970-03-17T16:32:07.431000Z,4,1,-,-,1,21,49,99,12
1970-03-17T22:22:49.887000Z,4,0,-,-,1,21,178,22,12
1970-03-18T20:17:50.334000Z,4,1,-,-,1,22,132,11,12
1970-03-18T20:20:20.063000Z,4,1,-,-,1,22,133,89,12
1970-03-20T02:55:09.378000Z,4,0,-,-,1,23,279,87,12
1970-03-23T16:10:47.852000Z,4,1,-,-,1,27,41,94,12
1970-03-23T16:14:02.867000Z,4,1,-,-,1,27,42,47,12
1970-03-24T15:59:28.208000Z,4,1,-,-,1,28,37,95,12
1970-03-24T16:02:03.375000Z,4,1,-,-,1,28,38,82,12
1970-03-25T04:25:33.010000Z,4,1,-,-,1,28,311,69,12
1970-03-25T04:27:28.329000Z,4,1,-,-,1,28,312,90,12
1970-03-25T17:53:53.187000Z,4,1,-,-,1,29,79,3,12
1970-03-25T17:55:28.582000Z,4,1,-,-,1,29,79,61,12
1970-03-26T02:04:48.295000Z,4,1,-,-,1,29,259,82,12
1970-03-26T02:07:23.461000Z,4,1,-,-,1,29,260,69,12
1970-03-26T13:58:58.453000Z,4,1,-,-,1,29,520,14,12
1970-03-26T14:02:33.392000Z,4,1,-,-,1,29,522,30,12
1970-03-27T01:58:28.547000Z,4,1,-,-,1,30,257,77,12
1970-03-27T02:00:33.525000Z,4,1,-,-,1,30,258,14,12
1970-03-27T13:58:22.770000Z,4,1,-,-,1,30,522,14,12
1970-03-27T13:59:22.543000Z,4,1,-,-,1,30,523,43,12
